Track Name,Race Number,Race URL,Race Start
DUBBO (NSW),4,https://swiftbet.com.au//racing/gallops/dubbo/race-4-1904417-1083151,15h 32m
DUBBO (NSW),5,https://swiftbet.com.au//racing/gallops/dubbo/race-5-1904436-1083151,16h 12m
DUBBO (NSW),6,https://swiftbet.com.au//racing/gallops/dubbo/race-6-1904447-1083151,16h 55m
DUBBO (NSW),7,https://swiftbet.com.au//racing/gallops/dubbo/race-7-1904452-1083151,17h 32m
BARCALDINE (QLD),1,https://swiftbet.com.au//racing/gallops/barcaldine/race-1-1904367-1083155,14h 34m
BARCALDINE (QLD),2,https://swiftbet.com.au//racing/gallops/barcaldine/race-2-1904388-1083155,15h 14m
BARCALDINE (QLD),3,https://swiftbet.com.au//racing/gallops/barcaldine/race-3-1904406-1083155,15h 54m
BARCALDINE (QLD),4,https://swiftbet.com.au//racing/gallops/barcaldine/race-4-1904426-1083155,16h 34m
BARCALDINE (QLD),5,https://swiftbet.com.au//racing/gallops/barcaldine/race-5-1904440-1083155,17h 14m
BEAUDESERT (QLD),1,https://swiftbet.com.au//racing/gallops/beaudesert/race-1-1904166-1083124,13h 28m
BEAUDESERT (QLD),2,https://swiftbet.com.au//racing/gallops/beaudesert/race-2-1904169-1083124,14h 8m
BEAUDESERT (QLD),3,https://swiftbet.com.au//racing/gallops/beaudesert/race-3-1904178-1083124,14h 48m
BEAUDESERT (QLD),4,https://swiftbet.com.au//racing/gallops/beaudesert/race-4-1904185-1083124,15h 30m
BEAUDESERT (QLD),5,https://swiftbet.com.au//racing/gallops/beaudesert/race-5-1904191-1083124,16h 10m
BEAUDESERT (QLD),6,https://swiftbet.com.au//racing/gallops/beaudesert/race-6-1904193-1083124,16h 45m
CLONCURRY (QLD),1,https://swiftbet.com.au//racing/gallops/cloncurry/race-1-1904429-1083158,14h 34m
CLONCURRY (QLD),2,https://swiftbet.com.au//racing/gallops/cloncurry/race-2-1904437-1083158,15h 19m
CLONCURRY (QLD),3,https://swiftbet.com.au//racing/gallops/cloncurry/race-3-1904444-1083158,16h 4m
CLONCURRY (QLD),4,https://swiftbet.com.au//racing/gallops/cloncurry/race-4-1904450-1083158,16h 54m
CLONCURRY (QLD),5,https://swiftbet.com.au//racing/gallops/cloncurry/race-5-1904455-1083158,17h 39m
DALBY (QLD),1,https://swiftbet.com.au//racing/gallops/dalby/race-1-1904297-1083141,13h 54m
DALBY (QLD),2,https://swiftbet.com.au//racing/gallops/dalby/race-2-1904324-1083141,14h 34m
DALBY (QLD),3,https://swiftbet.com.au//racing/gallops/dalby/race-3-1904365-1083141,15h 14m
DALBY (QLD),4,https://swiftbet.com.au//racing/gallops/dalby/race-4-1904400-1083141,15h 54m
DALBY (QLD),5,https://swiftbet.com.au//racing/gallops/dalby/race-5-1904420-1083141,16h 34m
HOME HILL (QLD),1,https://swiftbet.com.au//racing/gallops/home-hill/race-1-1904311-1083147,15h 8m
HOME HILL (QLD),2,https://swiftbet.com.au//racing/gallops/home-hill/race-2-1904344-1083147,15h 46m
HOME HILL (QLD),3,https://swiftbet.com.au//racing/gallops/home-hill/race-3-1904380-1083147,16h 24m
HOME HILL (QLD),4,https://swiftbet.com.au//racing/gallops/home-hill/race-4-1904389-1083147,17h 2m
HOME HILL (QLD),5,https://swiftbet.com.au//racing/gallops/home-hill/race-5-1904409-1083147,17h 39m
